idAcount;money
1;3673
2;8292
3;7880
4;5189
5;5374
6;2171
7;2786
8;5924
9;2156
10;8746
11;7680
12;3757
13;7626
14;2482
15;6364
16;1527
17;2515
18;6688
19;2432
20;3603
21;4319
22;6853
23;6098
24;4151
25;3698
26;1172
27;6029
28;2344
29;1480
30;2766
31;4302
32;8092
33;6591
34;5953
35;1954
36;4277
37;8047
38;4941
39;3785
40;5374
41;2659
42;1861
43;9548
44;3007
45;9768
46;6099
47;8889
48;5713
49;1286
50;5921
51;8830
52;5772
53;5150
54;7289
55;9389
56;5217
57;8059
58;5527
59;8486
60;1697
61;1852
62;4747
63;7919
64;5439
65;9960
66;3509
67;7053
68;9105
69;8113
70;7220
71;8863
72;6085
73;7121
74;8606
75;7083
76;2106
77;1271
78;2502
79;8569
80;7611
81;6404
82;3500
83;5241
84;4049
85;1786
86;3445
87;1477
88;3623
89;2586
90;1268
91;2048
92;2708
93;5579
94;9677
95;6311
96;9534
97;6664
98;1113
99;5472
100;1811
101;5262
102;2113
103;2415
104;3596
105;1288
106;7634
107;6674
108;3220
109;3274
110;8830
111;3410
112;5122
113;5177
114;6184
115;2671
116;9284
117;6041
118;8176
119;1288
120;6944
121;5073
122;4933
123;7742
124;7663
125;4011
126;5567
127;6166
128;4262
129;9998
130;4654
131;2744
132;3480
133;1330
134;2913
135;9639
136;3044
137;6925
138;6387
139;8724
140;2225
141;5556
142;7088
143;3575
144;4600
145;6965
146;8724
147;5443
148;4471
149;6051
150;4769
151;6090
152;7003
153;3606
154;7015
155;3018
156;7710
157;2988
158;4321
159;8709
160;7443
161;2065
162;8510
163;9952
164;8979
165;6675
166;6519
167;7992
168;1512
169;9385
170;7871
171;3361
172;6576
173;5148
174;4224
175;8960
176;6142
177;5285
178;5143
179;5124
180;5025
181;9960
182;9732
183;3889
184;8468
185;8930
186;4246
187;3207
188;6031
189;7784
190;9457
191;3107
192;8197
193;8670
194;4841
195;3845
196;3604
197;8584
198;9243
199;2876
200;6398
201;3398
202;5133
203;7092
204;8054
205;7053
206;6467
207;1155
208;2040
209;8917
210;6118
211;1038
212;4119
213;6023
214;5948
215;4898
216;1228
217;3696
218;5947
219;4119
220;1140
221;7854
222;7931
223;3028
224;1573
225;9464
226;7265
227;8379
228;4653
229;8067
230;9339
231;9054
232;8720
233;4484
234;2364
235;9702
236;8787
237;6170
238;2453
239;4462
240;6883
241;8323
242;5692
243;8965
244;4364
245;9643
246;6763
247;9864
248;1471
249;1730
250;7655
251;2801
252;5432
253;5726
254;3964
255;9849
256;4204
257;2423
258;3751
259;4203
260;4152
261;8497
262;7423
263;2116
264;5569
265;2584
266;6773
267;6857
268;2349
269;2542
270;1551
271;8647
272;1952
273;3705
274;5375
275;3204
276;3523
277;5653
278;2493
279;5523
280;8926
281;2469
282;8182
283;1324
284;9001
285;8385
286;8174
287;6929
288;4663
289;2967
290;3692
291;9199
292;1608
293;9639
294;7840
295;5361
296;5032
297;2337
298;1744
299;2896
300;3933
301;7703
302;5012
303;3510
